id,city,time,content,clean_content,compound_content,ml_text,handler,status,url,label,priority,is_synthetic
SYN0001,Hanoi,,"Tại khu vực phố Tây Sơn, đoạn gần Đại học Thủy Lợi, quận Đống Đa, nhiều xe ô tô thường xuyên dừng đỗ dưới lòng đường trong thời gian dài, đặc biệt vào giờ cao điểm. Việc này làm thu hẹp phần đường lưu thông, gây khó khăn cho các phương tiện qua lại và tiềm ẩn nguy cơ mất an toàn giao thông. Kính đề nghị cơ quan chức năng kiểm tra và có biện pháp xử lý.","Tại khu vực phố Tây Sơn, đoạn gần Đại học Thủy Lợi, quận Đống Đa, nhiều xe ô tô thường xuyên dừng đỗ dưới lòng đường trong thời gian dài, đặc biệt vào giờ cao điểm. Việc này làm thu hẹp phần đường lưu thông, gây khó khăn cho các phương tiện qua lại và tiềm ẩn nguy cơ mất an toàn giao thông. Kính đề nghị cơ quan chức năng kiểm tra và có biện pháp xử lý.","tại khu_vực phố tây_sơn , đoạn gần đại_học thủy_lợi , quận đống_đa , nhiều xe ô_tô thường_xuyên dừng đỗ dưới lòng_đường trong thời_gian dài , đặc_biệt vào giờ cao_điểm . việc này làm thu_hẹp phần đường lưu_thông , gây khó_khăn cho các phương_tiện qua_lại và tiềm_ẩn nguy_cơ mất an_toàn giao_thông . kính đề_nghị cơ_quan_chức_năng kiểm_tra và có biện_pháp xử_lý .","tại khu_vực phố tây_sơn , đoạn gần đại_học thủy_lợi , quận đống_đa , nhiều xe ô_tô thường_xuyên dừng đỗ dưới lòng_đường trong thời_gian dài , đặc_biệt vào giờ cao_điểm . việc này làm thu_hẹp phần đường lưu_thông , gây khó_khăn cho các phương_tiện qua_lại và tiềm_ẩn nguy_cơ mất an_toàn giao_thông . kính đề_nghị cơ_quan_chức_năng kiểm_tra và có biện_pháp xử_lý .",,Dữ liệu ảo,,do_xe_can_tro,trung_binh,True
SYN0002,Hanoi,,"Người dân phản ánh tại phố Tây Sơn, đoạn gần Đại học Thủy Lợi, quận Đống Đa xuất hiện tình trạng xe ô tô đỗ chắn trước lối ra vào khu dân cư. Các phương tiện khác khi đi qua phải lấn sang làn đối diện, gây cản trở giao thông và dễ xảy ra va chạm. Đề nghị lực lượng chức năng kiểm tra, nhắc nhở và xử lý tình trạng đỗ xe sai quy định.","Người dân phản ánh tại phố Tây Sơn, đoạn gần Đại học Thủy Lợi, quận Đống Đa xuất hiện tình trạng xe ô tô đỗ chắn trước lối ra vào khu dân cư. Các phương tiện khác khi đi qua phải lấn sang làn đối diện, gây cản trở giao thông và dễ xảy ra va chạm. Đề nghị lực lượng chức năng kiểm tra, nhắc nhở và xử lý tình trạng đỗ xe sai quy định.","người dân phản_ánh tại phố tây_sơn , đoạn gần đại_học thủy_lợi , quận đống_đa xuất_hiện tình_trạng xe ô_tô đỗ chắn trước lối ra vào khu dân_cư . các phương_tiện khác khi đi qua phải lấn sang làn đối_diện , gây cản_trở giao_thông và dễ xảy ra va_chạm . đề_nghị_lực_lượng chức_năng kiểm_tra , nhắc_nhở và xử_lý tình_trạng đỗ xe sai quy_định .","người dân phản_ánh tại phố tây_sơn , đoạn gần đại_học thủy_lợi , quận đống_đa xuất_hiện tình_trạng xe ô_tô đỗ chắn trước lối ra vào khu dân_cư . các phương_tiện khác khi đi qua phải lấn sang làn đối_diện , gây cản_trở giao_thông và dễ xảy ra va_chạm . đề_nghị_lực_lượng chức_năng kiểm_tra , nhắc_nhở và xử_lý tình_trạng đỗ xe sai quy_định .",,Dữ liệu ảo,,do_xe_can_tro,trung_binh,True
SYN0003,Hanoi,,"Khu vực đường Hoàng Quốc Việt, phường Nghĩa Đô, quận Cầu Giấy thường xuyên có xe tải, xe con dừng đỗ không đúng nơi quy định, đặc biệt vào buổi sáng và chiều tối. Tình trạng này gây ùn ứ cục bộ, ảnh hưởng đến việc đi lại của người dân và học sinh. Kính mong cơ quan chức năng sớm có phương án xử lý.","Khu vực đường Hoàng Quốc Việt, phường Nghĩa Đô, quận Cầu Giấy thường xuyên có xe tải, xe con dừng đỗ không đúng nơi quy định, đặc biệt vào buổi sáng và chiều tối. Tình trạng này gây ùn ứ cục bộ, ảnh hưởng đến việc đi lại của người dân và học sinh. Kính mong cơ quan chức năng sớm có phương án xử lý.","khu_vực đường hoàng_quốc việt , phường nghĩa_đô , quận cầu giấy thường_xuyên có xe_tải , xe_con dừng đỗ không đúng nơi quy_định , đặc_biệt vào buổi sáng và chiều_tối . tình_trạng này gây ùn ứ cục_bộ , ảnh_hưởng đến việc đi_lại của người dân và học_sinh . kính mong cơ_quan_chức_năng sớm có phương_án xử_lý .","khu_vực đường hoàng_quốc việt , phường nghĩa_đô , quận cầu giấy thường_xuyên có xe_tải , xe_con dừng đỗ không đúng nơi quy_định , đặc_biệt vào buổi sáng và chiều_tối . tình_trạng này gây ùn ứ cục_bộ , ảnh_hưởng đến việc đi_lại của người dân và học_sinh . kính mong cơ_quan_chức_năng sớm có phương_án xử_lý .",,Dữ liệu ảo,,do_xe_can_tro,trung_binh,True
SYN0004,Hanoi,,"Tại đường Nguyễn Văn Cừ, phường Bồ Đề, quận Long Biên, nhiều xe máy và ô tô đậu đỗ tràn xuống lòng đường, làm người đi bộ và phương tiện lưu thông gặp nhiều khó khăn. Một số thời điểm xe buýt và xe cứu thương khó di chuyển qua khu vực này. Đề nghị kiểm tra và bố trí biển cấm đỗ xe nếu cần thiết.","Tại đường Nguyễn Văn Cừ, phường Bồ Đề, quận Long Biên, nhiều xe máy và ô tô đậu đỗ tràn xuống lòng đường, làm người đi bộ và phương tiện lưu thông gặp nhiều khó khăn. Một số thời điểm xe buýt và xe cứu thương khó di chuyển qua khu vực này. Đề nghị kiểm tra và bố trí biển cấm đỗ xe nếu cần thiết.","tại đường nguyễn_văn_cừ , phường bồ_đề , quận long_biên , nhiều xe_máy và ô_tô đậu đỗ tràn xuống lòng_đường , làm người đi bộ và phương_tiện lưu_thông gặp nhiều khó_khăn . một_số thời_điểm xe_buýt và xe cứu_thương khó di_chuyển qua khu_vực này . đề_nghị kiểm_tra và bố_trí biển cấm đỗ xe nếu cần_thiết .","tại đường nguyễn_văn_cừ , phường bồ_đề , quận long_biên , nhiều xe_máy và ô_tô đậu đỗ tràn xuống lòng_đường , làm người đi bộ và phương_tiện lưu_thông gặp nhiều khó_khăn . một_số thời_điểm xe_buýt và xe cứu_thương khó di_chuyển qua khu_vực này . đề_nghị kiểm_tra và bố_trí biển cấm đỗ xe nếu cần_thiết .",,Dữ liệu ảo,,do_xe_can_tro,trung_binh,True
SYN0005,Hanoi,,"Đèn tín hiệu giao thông tại khu vực đường Phạm Văn Đồng, đoạn gần công viên Hòa Bình, quận Bắc Từ Liêm hoạt động không ổn định, có thời điểm không chuyển pha đúng chu kỳ. Việc này khiến các phương tiện di chuyển lộn xộn, dễ xảy ra va chạm tại nút giao. Kính đề nghị đơn vị quản lý kiểm tra và khắc phục sớm.","Đèn tín hiệu giao thông tại khu vực đường Phạm Văn Đồng, đoạn gần công viên Hòa Bình, quận Bắc Từ Liêm hoạt động không ổn định, có thời điểm không chuyển pha đúng chu kỳ. Việc này khiến các phương tiện di chuyển lộn xộn, dễ xảy ra va chạm tại nút giao. Kính đề nghị đơn vị quản lý kiểm tra và khắc phục sớm.","đèn tín_hiệu giao_thông tại khu_vực đường phạm văn đồng , đoạn gần công_viên hòa_bình , quận bắc từ liêm hoạt_động không ổn_định , có thời_điểm không chuyển pha đúng chu_kỳ . việc này khiến các phương_tiện di_chuyển lộn_xộn , dễ xảy ra va_chạm tại nút giao . kính đề_nghị đơn_vị quản_lý kiểm_tra và khắc_phục sớm .","đèn tín_hiệu giao_thông tại khu_vực đường phạm văn đồng , đoạn gần công_viên hòa_bình , quận bắc từ liêm hoạt_động không ổn_định , có thời_điểm không chuyển pha đúng chu_kỳ . việc này khiến các phương_tiện di_chuyển lộn_xộn , dễ xảy ra va_chạm tại nút giao . kính đề_nghị đơn_vị quản_lý kiểm_tra và khắc_phục sớm .",,Dữ liệu ảo,,den_tin_hieu,trung_binh,True
SYN0006,Hanoi,,"Tại nút giao gần phố Bạch Mai, phường Bạch Mai, quận Hai Bà Trưng, thời gian chờ đèn đỏ quá lâu trong khi lượng phương tiện lưu thông rất lớn. Vào giờ cao điểm, tình trạng này gây ùn tắc kéo dài và ảnh hưởng đến các tuyến đường lân cận. Đề nghị cơ quan chức năng xem xét điều chỉnh chu kỳ đèn cho phù hợp.","Tại nút giao gần phố Bạch Mai, phường Bạch Mai, quận Hai Bà Trưng, thời gian chờ đèn đỏ quá lâu trong khi lượng phương tiện lưu thông rất lớn. Vào giờ cao điểm, tình trạng này gây ùn tắc kéo dài và ảnh hưởng đến các tuyến đường lân cận. Đề nghị cơ quan chức năng xem xét điều chỉnh chu kỳ đèn cho phù hợp.","tại nút giao gần phố bạch_mai , phường bạch_mai , quận hai bà trưng , thời_gian chờ đèn_đỏ quá lâu trong khi lượng phương_tiện lưu_thông rất lớn . vào giờ cao_điểm , tình_trạng này gây ùn_tắc kéo_dài và ảnh_hưởng đến các tuyến đường lân_cận . đề_nghị cơ_quan_chức_năng xem_xét điều_chỉnh chu_kỳ đèn cho phù_hợp .","tại nút giao gần phố bạch_mai , phường bạch_mai , quận hai bà trưng , thời_gian chờ đèn_đỏ quá lâu trong khi lượng phương_tiện lưu_thông rất lớn . vào giờ cao_điểm , tình_trạng này gây ùn_tắc kéo_dài và ảnh_hưởng đến các tuyến đường lân_cận . đề_nghị cơ_quan_chức_năng xem_xét điều_chỉnh chu_kỳ đèn cho phù_hợp .",,Dữ liệu ảo,,den_tin_hieu,trung_binh,True
SYN0007,Hanoi,,"Người dân phản ánh đèn tín hiệu tại phố Nguyễn Xiển, phường Thanh Xuân Trung, quận Thanh Xuân bị lỗi, đèn xanh và đèn đỏ chuyển pha không hợp lý. Một số phương tiện không xác định được hướng di chuyển an toàn, gây mất trật tự giao thông. Đề nghị kiểm tra hệ thống điều khiển đèn tín hiệu tại khu vực này.","Người dân phản ánh đèn tín hiệu tại phố Nguyễn Xiển, phường Thanh Xuân Trung, quận Thanh Xuân bị lỗi, đèn xanh và đèn đỏ chuyển pha không hợp lý. Một số phương tiện không xác định được hướng di chuyển an toàn, gây mất trật tự giao thông. Đề nghị kiểm tra hệ thống điều khiển đèn tín hiệu tại khu vực này.","người dân phản_ánh đèn tín_hiệu tại phố nguyễn_xiển , phường thanh_xuân_trung , quận thanh_xuân bị lỗi , đèn_xanh và đèn_đỏ chuyển pha không hợp_lý . một_số phương_tiện không xác_định được hướng di_chuyển an_toàn , gây mất trật_tự giao_thông . đề_nghị kiểm_tra hệ_thống điều_khiển đèn tín_hiệu tại khu_vực này .","người dân phản_ánh đèn tín_hiệu tại phố nguyễn_xiển , phường thanh_xuân_trung , quận thanh_xuân bị lỗi , đèn_xanh và đèn_đỏ chuyển pha không hợp_lý . một_số phương_tiện không xác_định được hướng di_chuyển an_toàn , gây mất trật_tự giao_thông . đề_nghị kiểm_tra hệ_thống điều_khiển đèn tín_hiệu tại khu_vực này .",,Dữ liệu ảo,,den_tin_hieu,trung_binh,True
SYN0008,Hanoi,,"Đèn tín hiệu dành cho người đi bộ tại phố Tôn Đức Thắng, phường Hàng Bột, quận Đống Đa không hoạt động, khiến người dân gặp khó khăn khi sang đường. Khu vực này có nhiều học sinh, người đi bộ và phương tiện qua lại nên nguy cơ mất an toàn khá cao. Kính mong cơ quan chức năng sớm sửa chữa.","Đèn tín hiệu dành cho người đi bộ tại phố Tôn Đức Thắng, phường Hàng Bột, quận Đống Đa không hoạt động, khiến người dân gặp khó khăn khi sang đường. Khu vực này có nhiều học sinh, người đi bộ và phương tiện qua lại nên nguy cơ mất an toàn khá cao. Kính mong cơ quan chức năng sớm sửa chữa.","đèn tín_hiệu dành cho người đi bộ tại phố tôn_đức_thắng , phường hàng bột , quận đống_đa không hoạt_động , khiến người dân gặp khó_khăn khi sang đường . khu_vực này có nhiều học_sinh , người đi bộ và phương_tiện qua_lại nên nguy_cơ mất an_toàn khá cao . kính mong cơ_quan_chức_năng sớm sửa_chữa .","đèn tín_hiệu dành cho người đi bộ tại phố tôn_đức_thắng , phường hàng bột , quận đống_đa không hoạt_động , khiến người dân gặp khó_khăn khi sang đường . khu_vực này có nhiều học_sinh , người đi bộ và phương_tiện qua_lại nên nguy_cơ mất an_toàn khá cao . kính mong cơ_quan_chức_năng sớm sửa_chữa .",,Dữ liệu ảo,,den_tin_hieu,trung_binh,True
SYN0009,Hanoi,,"Tại phố Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng, đèn vàng nhấp nháy liên tục trong nhiều khung giờ, trong khi mật độ phương tiện rất đông. Việc thiếu tín hiệu điều khiển rõ ràng khiến giao thông tại nút giao trở nên lộn xộn. Đề nghị kiểm tra và khôi phục hoạt động bình thường của đèn tín hiệu.","Tại phố Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng, đèn vàng nhấp nháy liên tục trong nhiều khung giờ, trong khi mật độ phương tiện rất đông. Việc thiếu tín hiệu điều khiển rõ ràng khiến giao thông tại nút giao trở nên lộn xộn. Đề nghị kiểm tra và khôi phục hoạt động bình thường của đèn tín hiệu.","tại phố minh_khai , phường vĩnh_tuy , quận hai bà trưng , đèn_vàng nhấp_nháy liên_tục trong nhiều khung giờ , trong khi mật_độ phương_tiện rất đông . việc thiếu tín_hiệu điều_khiển rõ_ràng khiến giao_thông tại nút giao trở_nên lộn_xộn . đề_nghị kiểm_tra và khôi_phục hoạt_động bình_thường của đèn tín_hiệu .","tại phố minh_khai , phường vĩnh_tuy , quận hai bà trưng , đèn_vàng nhấp_nháy liên_tục trong nhiều khung giờ , trong khi mật_độ phương_tiện rất đông . việc thiếu tín_hiệu điều_khiển rõ_ràng khiến giao_thông tại nút giao trở_nên lộn_xộn . đề_nghị kiểm_tra và khôi_phục hoạt_động bình_thường của đèn tín_hiệu .",,Dữ liệu ảo,,den_tin_hieu,trung_binh,True
SYN0010,Hanoi,,"Đèn tín hiệu tại khu vực đường Xuân Thủy, đoạn trước cổng Trường Đại học Quốc gia Hà Nội, quận Cầu Giấy có hiện tượng chập chờn, lúc hoạt động lúc không, khiến người tham gia giao thông khó quan sát. Vào giờ cao điểm, các phương tiện di chuyển lộn xộn và dễ xảy ra va chạm. Đề nghị đơn vị quản lý kiểm tra hệ thống đèn.","Đèn tín hiệu tại khu vực đường Xuân Thủy, đoạn trước cổng Trường Đại học Quốc gia Hà Nội, quận Cầu Giấy có hiện tượng chập chờn, lúc hoạt động lúc không, khiến người tham gia giao thông khó quan sát. Vào giờ cao điểm, các phương tiện di chuyển lộn xộn và dễ xảy ra va chạm. Đề nghị đơn vị quản lý kiểm tra hệ thống đèn.","đèn tín_hiệu tại khu_vực đường xuân_thủy , đoạn trước cổng trường đại_học quốc_gia hà_nội , quận cầu giấy có hiện_tượng chập_chờn , lúc hoạt_động lúc không , khiến người tham_gia giao_thông khó quan_sát . vào giờ cao_điểm , các phương_tiện di_chuyển lộn_xộn và dễ xảy ra va_chạm . đề_nghị đơn_vị quản_lý kiểm_tra hệ_thống đèn .","đèn tín_hiệu tại khu_vực đường xuân_thủy , đoạn trước cổng trường đại_học quốc_gia hà_nội , quận cầu giấy có hiện_tượng chập_chờn , lúc hoạt_động lúc không , khiến người tham_gia giao_thông khó quan_sát . vào giờ cao_điểm , các phương_tiện di_chuyển lộn_xộn và dễ xảy ra va_chạm . đề_nghị đơn_vị quản_lý kiểm_tra hệ_thống đèn .",,Dữ liệu ảo,,den_tin_hieu,trung_binh,True
