id,city,time,content,clean_content,compound_content,ml_text,handler,status,url,label,priority,is_synthetic,label_encoded
SYN0091,Hanoi,,"Khu vực phố Kim Mã, phường Ngọc Khánh, quận Ba Đình có điểm tập kết rác không đúng nơi quy định, nhiều bao rác bị để tràn ra lòng đường. Việc này gây mất vệ sinh môi trường, phát sinh mùi hôi và ảnh hưởng đến người đi bộ. Đề nghị cơ quan chức năng kiểm tra và bố trí điểm tập kết phù hợp hơn.","Khu vực phố Kim Mã, phường Ngọc Khánh, quận Ba Đình có điểm tập kết rác không đúng nơi quy định, nhiều bao rác bị để tràn ra lòng đường. Việc này gây mất vệ sinh môi trường, phát sinh mùi hôi và ảnh hưởng đến người đi bộ. Đề nghị cơ quan chức năng kiểm tra và bố trí điểm tập kết phù hợp hơn.","khu_vực phố kim_mã , phường ngọc_khánh , quận ba đình có điểm tập_kết rác không đúng nơi quy_định , nhiều bao rác bị để tràn ra lòng_đường . việc này gây mất vệ_sinh môi_trường , phát_sinh mùi hôi và ảnh_hưởng đến người đi bộ . đề_nghị cơ_quan_chức_năng kiểm_tra và bố_trí điểm tập_kết phù_hợp hơn .","khu_vực phố kim_mã , phường ngọc_khánh , quận ba đình có điểm tập_kết rác không đúng nơi quy_định , nhiều bao rác bị để tràn ra lòng_đường . việc này gây mất vệ_sinh môi_trường , phát_sinh mùi hôi và ảnh_hưởng đến người đi bộ . đề_nghị cơ_quan_chức_năng kiểm_tra và bố_trí điểm tập_kết phù_hợp hơn .",,Dữ liệu ảo,,rac_thai_ve_sinh_moi_truong,trung_binh,True,8
96150,Da Nang,6/4/2026 15:06,"Tại địa chỉ 44 Nguyễn Công Trứ, phường Hội An Tây đã được xử lý về vấn đề thoát nước, tuy nhiên sau khi xử lý nắp cống không trám lại để mùi hôi bốc lên mỗi chiều và tối hằng ngày. Đề nghị cơ quan chức năng quan tâm, xử lý.","Tại địa chỉ 44 Nguyễn Công Trứ, phường Hội An Tây đã được xử lý về vấn đề thoát nước, tuy nhiên sau khi xử lý nắp cống không trám lại để mùi hôi bốc lên mỗi chiều và tối hằng ngày. Đề nghị cơ quan chức năng quan tâm, xử lý.","Tại_địa chỉ 44 Nguyễn_Công_Trứ , phường Hội_An_Tây_đã_được xử_lý về vấn_đề thoát nước , tuy_nhiên sau khi xử_lý nắp cống không trám lại để mùi hôi bốc lên mỗi chiều và tối hằng ngày . Đề_nghị cơ_quan_chức_năng quan_tâm , xử_lý .","tại_địa chỉ 44 nguyễn_công_trứ , phường hội_an_tây_đã_được xử_lý về vấn_đề thoát nước , tuy_nhiên sau khi xử_lý nắp cống không trám lại để mùi hôi bốc lên mỗi chiều và tối hằng ngày . đề_nghị cơ_quan_chức_năng quan_tâm , xử_lý .",UBND phường Hội An Tây,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96150,cong_ho_ga_thoat_nuoc,trung_binh,False,2
190,Hue,09:23 22/03/2026,"Đề nghị nâng cấp tuyến đường gần cổng chào thôn Đông Lưu, xã Phú Lộc. Mặt đường đã xuống cấp gây khó khăn việc đi lại của người dân. Xin cám ơn. Ảnh chụp vào lúc 9h09 ngày 22/3/2026.","Đề nghị nâng cấp tuyến đường gần cổng chào thôn Đông Lưu, xã Phú Lộc. Mặt đường đã xuống cấp gây khó khăn việc đi lại của người dân. Xin cám ơn. Ảnh chụp vào lúc 9h09 ngày 22/3/2026.","Đề_nghị nâng_cấp tuyến đường gần cổng_chào thôn Đông_Lưu , xã Phú_Lộc . Mặt_đường_đã xuống_cấp gây khó_khăn việc đi_lại của người dân . Xin cám_ơn . Ảnh chụp vào lúc 9h09 ngày 22 / 3 / 2026 .","đề_nghị nâng_cấp tuyến đường gần cổng_chào thôn đông_lưu , xã phú_lộc . mặt_đường_đã xuống_cấp gây khó_khăn việc đi_lại của người dân . xin cám_ơn . ảnh chụp vào lúc 9h09 ngày 22 / 3 / 2026 .","Kết quả xử lý
Xã Phú Lộc
Kính gửi: Quý Ông/Bà.
Vấn đề quý Ông/Bà phản ánh, UBND xã Phú Lộc xin thông báo kết quả như sau:
Liên quan đến nội dung phản ánh, UBND xã Phú Lộc đã chỉ đạo Phòng Kinh tế chủ trì, phối hợp với các đơn vị liên quan tiến hành kiểm tra, xử lý.
Theo đó qua kiểm tra, xác minh thực tế tại hiện trường khu vực phản ánh, nhận thấy: Hiện nay, trên tuyến đường gần cổng chào thôn Đông Lưu có nhiều đoạn đã bị hư hỏng, ảnh hưởng đến việc đi lại của Nhân dân, trong đó có đoạn đường nêu trên. UBND xã đã chỉ đạo Phòng Kinh tế rà soát, thống kê và đưa vào danh mục đề xuất đầu tư công trung hạn giai đoạn 2026 -2030 và sẽ tiến hành đầu tư sửa chữa khi có kinh phí (dự kiến năm 2027).
Chân thành cảm ơn quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 01/04/2026
Ngày xử lý: 01/04/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/nang-cap-tuyen-duong-thon-dong-luu-a218587.html,duong_cau_ha_tang_hu_hong,trung_binh,False,6
265022,Ha Noi,,Không hiểu sao vỉa hè ở đây lại biến thành bãi đỗ xe ô tô ngang nhiên ngang ngược như vây. Rất nhiều ô tô lao lên vỉa hè làm hỏng nền gạch của nhà nước. Khoảng 9h sáng Ngày 8/4/2026 Rất nhiều vô cùng ô tô đỗ trái phép trên vỉa hè. Tại sao cơ quan chức năng lại để cho việc này ngang nhiên xẩy ra thường xuyên??? Sau đây là 1 số ô tô tôi kịp thời chụp lại biển làm bằng chứng trình báo lên cơ quan công an. 30F 06363 29B 42526 30F 49655 30H 39569 30A 92319 29A 17693 30L 27273,Không hiểu sao vỉa hè ở đây lại biến thành bãi đỗ xe ô tô ngang nhiên ngang ngược như vây. Rất nhiều ô tô lao lên vỉa hè làm hỏng nền gạch của nhà nước. Khoảng 9h sáng Ngày 8/4/2026 Rất nhiều vô cùng ô tô đỗ trái phép trên vỉa hè. Tại sao cơ quan chức năng lại để cho việc này ngang nhiên xẩy ra thường xuyên Sau đây là 1 số ô tô tôi kịp thời chụp lại biển làm bằng chứng trình báo lên cơ quan công an. 30F 06363 29B 42526 30F 49655 30H 39569 30A 92319 29A 17693 30L 27273,Không hiểu sao vỉa_hè ở đây lại biến thành bãi đỗ xe ô_tô ngang_nhiên ngang_ngược như vây . Rất nhiều ô_tô lao lên vỉa_hè làm hỏng nền gạch của nhà_nước . Khoảng 9h sáng Ngày 8 / 4 / 2026 Rất nhiều vô_cùng ô_tô đỗ trái_phép trên vỉa_hè . Tại_sao cơ_quan_chức_năng lại để cho việc này ngang_nhiên xẩy ra thường_xuyên Sau_đây là 1 số ô_tô tôi kịp_thời chụp lại biển làm bằng_chứng trình_báo lên cơ_quan công_an . 30F 06363 29B 42526 30F 49655 30H 39569 30A 92319 29A 17693 30L 27273,không hiểu sao vỉa_hè ở đây lại biến thành bãi đỗ xe ô_tô ngang_nhiên ngang_ngược như vây . rất nhiều ô_tô lao lên vỉa_hè làm hỏng nền gạch của nhà_nước . khoảng 9h sáng ngày 8 / 4 / 2026 rất nhiều vô_cùng ô_tô đỗ trái_phép trên vỉa_hè . tại_sao cơ_quan_chức_năng lại để cho việc này ngang_nhiên xẩy ra thường_xuyên sau_đây là 1 số ô_tô tôi kịp_thời chụp lại biển làm bằng_chứng trình_báo lên cơ_quan công_an . 30f 06363 29b 42526 30f 49655 30h 39569 30a 92319 29a 17693 30l 27273,,Chưa xác định,https://congdanso.hanoi.gov.vn/phan-anh/phan-anh-tai-137-nguyen-van-cu-265022,do_xe_can_tro,trung_binh,False,5
SYN0013,Hanoi,,"Đèn tín hiệu cho người đi bộ tại phố Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng bị mờ và khó quan sát vào ban ngày. Người dân, đặc biệt là học sinh và người lớn tuổi, gặp khó khăn khi sang đường. Đề nghị kiểm tra và thay thế thiết bị nếu cần.","Đèn tín hiệu cho người đi bộ tại phố Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng bị mờ và khó quan sát vào ban ngày. Người dân, đặc biệt là học sinh và người lớn tuổi, gặp khó khăn khi sang đường. Đề nghị kiểm tra và thay thế thiết bị nếu cần.","đèn tín_hiệu cho người đi bộ tại phố minh_khai , phường vĩnh_tuy , quận hai bà trưng bị mờ và khó quan_sát vào ban_ngày . người dân , đặc_biệt là học_sinh và người lớn_tuổi , gặp khó_khăn khi sang đường . đề_nghị kiểm_tra và thay_thế thiết_bị nếu cần .","đèn tín_hiệu cho người đi bộ tại phố minh_khai , phường vĩnh_tuy , quận hai bà trưng bị mờ và khó quan_sát vào ban_ngày . người dân , đặc_biệt là học_sinh và người lớn_tuổi , gặp khó_khăn khi sang đường . đề_nghị kiểm_tra và thay_thế thiết_bị nếu cần .",,Dữ liệu ảo,,den_tin_hieu,trung_binh,True,3
270,Hue,09:13 13/03/2026,"Ngày 13/3 đoạn đường 94 Kim Phụng , Kim Trà, Huế bị đào rãnh nước rất sâu. Gây khó khăn cho người dân qua lại, tối đi đường nguy hiểm dễ gây tai nạn.
Xem xét lại việc tạo rãnh nước ngay đường như vậy không phải là giải pháp tối ưu, rất nguy hiểm cho dân đi lại và vô ra. Đề nghị cơ quan chức năng kiểm tra và xử lý.","Ngày 13/3 đoạn đường 94 Kim Phụng, Kim Trà, Huế bị đào rãnh nước rất sâu. Gây khó khăn cho người dân qua lại, tối đi đường nguy hiểm dễ gây tai nạn. Xem xét lại việc tạo rãnh nước ngay đường như vậy không phải là giải pháp tối ưu, rất nguy hiểm cho dân đi lại và vô ra. Đề nghị cơ quan chức năng kiểm tra và xử lý.","Ngày 13 / 3 đoạn_đường 94 Kim_Phụng , Kim_Trà , Huế bị đào rãnh nước rất sâu . Gây khó_khăn cho người dân qua_lại , tối đi_đường nguy_hiểm_dễ gây tai_nạn . Xem_xét_lại việc tạo rãnh nước ngay đường như_vậy không phải là giải_pháp tối_ưu , rất nguy_hiểm cho dân đi_lại và vô ra . Đề_nghị cơ_quan_chức_năng kiểm_tra và xử_lý .","ngày 13 / 3 đoạn_đường 94 kim_phụng , kim_trà , huế bị đào rãnh nước rất sâu . gây khó_khăn cho người dân qua_lại , tối đi_đường nguy_hiểm_dễ gây tai_nạn . xem_xét_lại việc tạo rãnh nước ngay đường như_vậy không phải là giải_pháp tối_ưu , rất nguy_hiểm cho dân đi_lại và vô ra . đề_nghị cơ_quan_chức_năng kiểm_tra và xử_lý .","Kết quả xử lý
Văn phòng Quản lý đường bộ II.5
Kính gửi: Quý Ông/Bà.
Vấn đề Quý Ông/Bà phản ánh, Văn phòng QLĐB II.5 xin thông báo kết quả như sau:
Văn phòng đã chỉ đạo đơn vị bảo dưỡng thường xuyên tiến hành san gạt lại vị trí đào rãnh lề đường nhằm đảm bảo thoát nước tại Km3+500, Đường tránh Huế, qua đó bảo đảm an toàn cho người dân khi tham gia giao thông.
Chân thành cảm ơn Quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 24/03/2026
Ngày xử lý: 08/04/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/dao-ranh-sau-gay-nguy-hiem-tai-94-kim-phung-a217772.html,cong_ho_ga_thoat_nuoc,thap,False,2
94820,Da Nang,10:08 22/03/2026,"Đoạn đường Cao Sơn Pháo từ ngã 4 Nguyễn Văn Tạo đến cổng bến xe Trung tâm Đà Nẵng mặc dù rất rộng (6 làn đường) nhưng cắm biển Cấm đỗ, cấm dừng rất khó khăn cho việc lưu thông, buôn bán, sinh hoạt của người dân cũng như doanh nghiệp. Thiết nghĩ chỉ cần cấm đỗ sẽ phù hợp hơn. Kính đề nghị cơ quan ban ngành liên quan xem xét, kiểm thảo thay đổi. Xin cảm ơn./.","Đoạn đường Cao Sơn Pháo từ ngã 4 Nguyễn Văn Tạo đến cổng bến xe Trung tâm Đà Nẵng mặc dù rất rộng (6 làn đường) nhưng cắm biển Cấm đỗ, cấm dừng rất khó khăn cho việc lưu thông, buôn bán, sinh hoạt của người dân cũng như doanh nghiệp. Thiết nghĩ chỉ cần cấm đỗ sẽ phù hợp hơn. Kính đề nghị cơ quan ban ngành liên quan xem xét, kiểm thảo thay đổi. Xin cảm ơn. /.","Đoạn_đường Cao_Sơn_Pháo từ ngã 4 Nguyễn_Văn_Tạo_đến cổng bến_xe Trung_tâm Đà_Nẵng mặc_dù rất rộng ( 6 làn_đường ) nhưng cắm biển Cấm_đỗ , cấm dừng rất khó_khăn cho việc lưu_thông , buôn_bán , sinh_hoạt của người dân cũng như doanh_nghiệp . Thiết_nghĩ chỉ cần cấm đỗ sẽ phù_hợp hơn . Kính_đề nghị cơ_quan ban_ngành liên_quan xem_xét , kiểm thảo thay_đổi . Xin cảm_ơn . / .","đoạn_đường cao_sơn_pháo từ ngã 4 nguyễn_văn_tạo_đến cổng bến_xe trung_tâm đà_nẵng mặc_dù rất rộng ( 6 làn_đường ) nhưng cắm biển cấm_đỗ , cấm dừng rất khó_khăn cho việc lưu_thông , buôn_bán , sinh_hoạt của người dân cũng như doanh_nghiệp . thiết_nghĩ chỉ cần cấm đỗ sẽ phù_hợp hơn . kính_đề nghị cơ_quan ban_ngành liên_quan xem_xét , kiểm thảo thay_đổi . xin cảm_ơn . / .","Sở Xây dựng Sở Xây dựng trân trọng cảm ơn ý kiến góp ý của công dân và thông tin như sau: Nhằm mục đích đảm bảo ATGT khu vực cửa ngõ Bến xe Trung tâm thành phố và đặc biệt là trật tự vận tải (trước đây các phương tiện thường xuyên tập trung dừng xe, đỗ xe để đón, trả khách; phát sinh tình trạng xe dù, bến cóc gây mất trật tự, an ninh của khu vực), Sở Xây dựng đã phối hợp Công an thành phố, địa phương và các ngành liên quan báo cáo đề xuất cấp thẩm quyền thống nhất chủ trương cấm dừng, đỗ xe trên đường Cao Sơn Pháo. Vậy, Sở Xây dựng phản hồi thông tin để công dân được biết. Trân trọng./. Ngày trả lời: 03/04/2026",Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=94820,bien_bao,thap,False,0
96248,Da Nang,7/4/2026 14:00,"Hiện tại, đường dây điện chiếu sáng công cộng đi ngang qua nhà tôi tại địa chỉ 02 Phước Hòa 2, phường Cẩm Lệ. Đường dây này đã tồn tại từ thời điểm tôi được cấp đất vào năm 2010. Trước đây, do phần sân nhà tôi được chừa lùi vào bên trong nên chưa ảnh hưởng đến việc sử dụng. Tuy nhiên, hiện nay tôi có nhu cầu khai thác và xây dựng mái hiên trên phần sân, nhưng bị vướng đường dây điện nêu trên. Tôi đã liên hệ với điện lực và được hướng dẫn đây là hệ thống điện chiếu sáng công cộng thuộc đơn vị quản lý khác. Vì vậy, kính đề nghị cơ quan chức năng: - Kiểm tra hiện trạng đường dây điện tại vị trí nêu trên - Có phương án di dời, điều chỉnh phù hợp - Tạo điều kiện để tôi sử dụng phần đất hợp pháp của mình theo quy định Kính mong được quan tâm xem xét và hỗ trợ giải quyết.","Hiện tại, đường dây điện chiếu sáng công cộng đi ngang qua nhà tôi tại địa chỉ 02 Phước Hòa 2, phường Cẩm Lệ. Đường dây này đã tồn tại từ thời điểm tôi được cấp đất vào năm 2010. Trước đây, do phần sân nhà tôi được chừa lùi vào bên trong nên chưa ảnh hưởng đến việc sử dụng. Tuy nhiên, hiện nay tôi có nhu cầu khai thác và xây dựng mái hiên trên phần sân, nhưng bị vướng đường dây điện nêu trên. Tôi đã liên hệ với điện lực và được hướng dẫn đây là hệ thống điện chiếu sáng công cộng thuộc đơn vị quản lý khác. Vì vậy, kính đề nghị cơ quan chức năng: - Kiểm tra hiện trạng đường dây điện tại vị trí nêu trên - Có phương án di dời, điều chỉnh phù hợp - Tạo điều kiện để tôi sử dụng phần đất hợp pháp của mình theo quy định Kính mong được quan tâm xem xét và hỗ trợ giải quyết.","Hiện_tại , đường_dây_điện chiếu sáng công_cộng đi ngang qua nhà tôi tại địa_chỉ 02 Phước_Hòa 2 , phường Cẩm_Lệ . Đường_dây này đã tồn_tại từ thời_điểm tôi được cấp đất vào năm 2010 . Trước_đây , do phần sân_nhà tôi được chừa lùi vào bên trong nên chưa ảnh_hưởng đến việc sử_dụng . Tuy_nhiên , hiện_nay tôi có nhu_cầu khai_thác và xây_dựng mái_hiên trên phần sân , nhưng bị vướng đường_dây_điện nêu trên . Tôi_đã liên_hệ với điện_lực và được hướng_dẫn đây là hệ_thống điện chiếu sáng công_cộng thuộc đơn_vị quản_lý khác . Vì_vậy , kính đề_nghị cơ_quan_chức_năng : - Kiểm_tra hiện_trạng đường_dây_điện tại vị_trí nêu trên - Có phương_án di_dời , điều_chỉnh phù_hợp - Tạo_điều kiện để tôi sử_dụng phần đất hợp_pháp của mình theo quy định_Kính mong được quan_tâm xem_xét và hỗ_trợ giải_quyết .","hiện_tại , đường_dây_điện chiếu sáng công_cộng đi ngang qua nhà tôi tại địa_chỉ 02 phước_hòa 2 , phường cẩm_lệ . đường_dây này đã tồn_tại từ thời_điểm tôi được cấp đất vào năm 2010 . trước_đây , do phần sân_nhà tôi được chừa lùi vào bên trong nên chưa ảnh_hưởng đến việc sử_dụng . tuy_nhiên , hiện_nay tôi có nhu_cầu khai_thác và xây_dựng mái_hiên trên phần sân , nhưng bị vướng đường_dây_điện nêu trên . tôi_đã liên_hệ với điện_lực và được hướng_dẫn đây là hệ_thống điện chiếu sáng công_cộng thuộc đơn_vị quản_lý khác . vì_vậy , kính đề_nghị cơ_quan_chức_năng : - kiểm_tra hiện_trạng đường_dây_điện tại vị_trí nêu trên - có phương_án di_dời , điều_chỉnh phù_hợp - tạo_điều kiện để tôi sử_dụng phần đất hợp_pháp của mình theo quy định_kính mong được quan_tâm xem_xét và hỗ_trợ giải_quyết .",Sở Xây dựng Sở Xây dựng trân trọng cảm ơn ý kiến góp ý của Quý công dân và phản hồi một số thông tin như sau: Công ty cổ phần chiếu sáng công cộng đã kiểm tra hiện trường và liên hệ khảo sát với công dân và sắp xếp lên kế hoạch di dời,Đã xử lý,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96248,dien_luc_chieu_sang,thap,False,4
120,Hue,11:15 31/03/2026,"Phản ánh tuyến đường chính 19,5 mét, khu quy hoạch Thuỷ Thanh 2, phường Thanh Thuỷ, cây cỏ mọc um tùm trên hành lang đi bộ, không xứng là 1 đô thị xanh, sạch, hiện đại. Đề nghị cơ quan chức năng xử lý các hành lang đi bộ này, trở về hiện trạng sạch sẽ, không cỏ cây mọc um tùm làm mất mỹ quan quan cảnh đô thị.","Phản ánh tuyến đường chính 19, 5 mét, khu quy hoạch Thuỷ Thanh 2, phường Thanh Thuỷ, cây cỏ mọc um tùm trên hành lang đi bộ, không xứng là 1 đô thị xanh, sạch, hiện đại. Đề nghị cơ quan chức năng xử lý các hành lang đi bộ này, trở về hiện trạng sạch sẽ, không cỏ cây mọc um tùm làm mất mỹ quan quan cảnh đô thị.","Phản_ánh tuyến đường chính 19 , 5 mét , khu quy_hoạch Thuỷ_Thanh 2 , phường Thanh_Thuỷ , cây_cỏ mọc um_tùm trên hành_lang đi bộ , không xứng là 1 đô_thị xanh , sạch , hiện_đại . Đề_nghị cơ_quan_chức_năng xử_lý các hành_lang đi bộ này , trở về hiện_trạng sạch_sẽ , không cỏ_cây mọc um_tùm làm mất mỹ_quan quan cảnh đô_thị .","phản_ánh tuyến đường chính 19 , 5 mét , khu quy_hoạch thuỷ_thanh 2 , phường thanh_thuỷ , cây_cỏ mọc um_tùm trên hành_lang đi bộ , không xứng là 1 đô_thị xanh , sạch , hiện_đại . đề_nghị cơ_quan_chức_năng xử_lý các hành_lang đi bộ này , trở về hiện_trạng sạch_sẽ , không cỏ_cây mọc um_tùm làm mất mỹ_quan quan cảnh đô_thị .","Kết quả xử lý
Phường Thanh Thủy
Kính gửi: Quý Ông/Bà.
Vấn đề Quý Ông/Bà phản ánh, UBND phường Thanh Thủy xin thông báo kết quả như sau:
Sau khi tiếp nhận phản ánh, UBND phường đã chỉ đạo Trung tâm Dịch vụ sự nghiệp công kiểm tra, xử lý. Qua kiểm tra hiện trường, khu quy hoạch Thủy Thanh hiện do Ban Quản lý Đầu tư Xây dựng và Phát triển đô thị thành phố quản lý, bao gồm hệ thống vỉa hè và cây xanh. Ghi nhận tại một số vị trí trên vỉa hè còn tồn tại cỏ mọc cục bộ.
Trong thời gian tới, UBND phường sẽ đề nghị Ban Quản lý Đầu tư Xây dựng và Phát triển đô thị thành phố quan tâm, tăng cường công tác dọn cỏ, cắt tỉa cây xanh tại khu vực này. Đồng thời, đề nghị Quý Ông/Bà hưởng ứng phong trào “Chủ Nhật xanh”, cùng tham gia vệ sinh khu vực xung quanh nhằm đảm bảo mỹ quan đô thị.
Chân thành cảm ơn Quý Ông/Bà.
Trân trọng./.
Hạn xử lý: 09/04/2026
Ngày xử lý: 29/04/2026",Đã xử lý,https://tuongtac.hue.gov.vn/phan-anh/kien-nghi-ve-sinh-sach-se-cay-co-moc-tran-ra-duong-195m-kqh-thuy-thanh-a219473.html,cay_xanh_vat_can,thap,False,1
SYN0092,Hanoi,,"Tại phố Tôn Đức Thắng, phường Hàng Bột, quận Đống Đa, nước thải từ một số hộ kinh doanh chảy ra mặt đường, gây mùi khó chịu và làm trơn trượt khu vực đi lại. Người dân lo ngại tình trạng này kéo dài sẽ ảnh hưởng đến vệ sinh môi trường và an toàn giao thông. Kính đề nghị kiểm tra, nhắc nhở và xử lý.","Tại phố Tôn Đức Thắng, phường Hàng Bột, quận Đống Đa, nước thải từ một số hộ kinh doanh chảy ra mặt đường, gây mùi khó chịu và làm trơn trượt khu vực đi lại. Người dân lo ngại tình trạng này kéo dài sẽ ảnh hưởng đến vệ sinh môi trường và an toàn giao thông. Kính đề nghị kiểm tra, nhắc nhở và xử lý.","tại phố tôn_đức_thắng , phường hàng bột , quận đống_đa , nước_thải từ một_số hộ kinh_doanh chảy ra_mặt_đường , gây mùi khó_chịu và làm trơn trượt khu_vực đi_lại . người dân lo_ngại tình_trạng này kéo_dài sẽ ảnh_hưởng đến vệ_sinh môi_trường và an_toàn giao_thông . kính đề_nghị kiểm_tra , nhắc_nhở và xử_lý .","tại phố tôn_đức_thắng , phường hàng bột , quận đống_đa , nước_thải từ một_số hộ kinh_doanh chảy ra_mặt_đường , gây mùi khó_chịu và làm trơn trượt khu_vực đi_lại . người dân lo_ngại tình_trạng này kéo_dài sẽ ảnh_hưởng đến vệ_sinh môi_trường và an_toàn giao_thông . kính đề_nghị kiểm_tra , nhắc_nhở và xử_lý .",,Dữ liệu ảo,,rac_thai_ve_sinh_moi_truong,trung_binh,True,8
